Rk,Player,salary,type,Season,Age,Tm,Lg,MP,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
229,Taurean Waller-Prince,3481986,1st Round pick,2018-19,24,ATL,NBA,28.2,11.9,55,47,1552,6.1,13.8,3.2,6.5,2.9,7.3,2.2,2.7,0.5,4.1,4.6,2.7,1.2,0.4,2.3,3.3,17.2,0.441,0.498,0.39,0.545,0.819,0.575
230,Patrick Beverley,12345679,0,2018-19,30,LAC,NBA,27.4,11.8,78,49,2137,3.3,8,1.4,3.3,1.9,4.8,1.6,2.1,1.3,5.3,6.5,5.1,1.1,0.7,1.4,4.5,10,0.407,0.421,0.397,0.524,0.78,0.561
231,Vince Carter,2564753,Minimum Salary,2018-19,42,ATL,NBA,17.5,11.8,76,9,1330,5.3,12.7,2,4.1,3.3,8.6,1.3,1.8,0.8,4.4,5.3,2.4,1.2,0.7,1.3,3.8,15.2,0.419,0.48,0.389,0.55,0.712,0.565
232,Wayne Ellington,7804878,0,2018-19,31,TOT,NBA,24.5,11.8,53,38,1297,5.1,12.7,1.3,2.4,3.8,10.3,1.1,1.4,0.4,2.6,3,2,1.5,0.2,1.1,2.6,15.1,0.403,0.541,0.371,0.554,0.796,0.569
233,Malik Monk,4028400,1st Round Pick,2018-19,20,CHO,NBA,17.2,11.8,73,0,1258,6.5,16.8,3.4,7.3,3.1,9.4,2.6,2.9,0.5,3.5,3.9,3.3,1.1,0.5,2.5,3,18.7,0.387,0.461,0.33,0.48,0.882,0.518
234,Ish Smith,5853659,MLE,2018-19,30,DET,NBA,22.3,11.8,56,0,1251,5.9,14.1,4.6,10.2,1.3,3.9,1.4,1.8,0.7,3.5,4.2,5.8,0.8,0.3,1.8,3.1,14.4,0.419,0.455,0.326,0.464,0.758,0.485
236,Dwayne Bacon,1618520,MLE,2018-19,23,CHO,NBA,17.7,11.7,43,13,759,5.8,12.2,4,8.1,1.8,4.1,1.6,2.2,0.4,3.8,4.2,2.2,0.6,0.2,0.9,3.4,15,0.475,0.494,0.437,0.549,0.739,0.57
237,Lonzo Ball,8719320,1st Round Pick,2018-19,21,LAL,NBA,30.3,11.7,47,45,1423,4.7,11.5,2.8,5.8,1.9,5.8,0.5,1.2,1.4,5,6.3,6.5,1.7,0.5,2.6,2.9,11.8,0.406,0.482,0.329,0.488,0.417,0.487
239,Tim Frazier,1882867,0,2018-19,28,TOT,NBA,19,11.7,59,19,1120,3.7,8.4,2.5,5.1,1.2,3.2,1.3,1.7,1.3,4.1,5.4,8,1,0.2,2.4,3.6,10,0.444,0.494,0.366,0.515,0.759,0.544
240,Shaun Livingston,666667,0,2018-19,33,GSW,NBA,15.1,11.7,64,0,967,4.1,7.8,4.1,7.7,0,0.1,1.5,1.9,1.6,2.8,4.4,4.2,1.2,1,1.4,2.8,9.6,0.519,0.524,0,0.519,0.784,0.555
241,Markieff Morris,3200000,Bi-annual Exception,2018-19,29,TOT,NBA,21.9,11.7,58,16,1270,5.8,13.7,3.9,8,1.9,5.8,2,2.6,1.7,5.8,7.5,2.2,1,0.6,1.5,5,15.5,0.421,0.484,0.335,0.492,0.772,0.521
242,Ryan Arcidiacono,3000000,0,2018-19,24,CHI,NBA,24.2,11.6,81,32,1961,3.4,7.7,1.9,3.7,1.5,4,1.6,1.9,0.5,3.5,4,4.9,1.2,0.1,1.2,3.1,10,0.447,0.527,0.373,0.544,0.873,0.588
244,Ersan İlyasova,7000000,MLE,2018-19,31,MIL,NBA,18.4,11.6,67,7,1231,4.9,11.1,3.2,6.5,1.7,4.7,1.8,2.2,2.7,6.1,8.8,1.5,0.9,0.6,1.4,5,13.2,0.438,0.493,0.363,0.514,0.824,0.548
245,Doug McDermott,7333334,0,2018-19,27,IND,NBA,17.4,11.6,77,1,1340,5.6,11.3,3.3,5.8,2.3,5.5,1.8,2.1,0.5,2.5,2.9,1.8,0.5,0.2,1.1,2.8,15.2,0.491,0.569,0.408,0.59,0.835,0.617
